Pos,Equipe,P,J,V,E,D,GP,GC,SG,%
1,Palmeiras,13,5,4,1,0,7,2,5,86.67
2,Flamengo RJ,11,5,3,2,0,11,2,9,73.33
3,Bragantino,10,5,3,1,1,6,4,2,66.67
4,Fluminense,10,5,3,1,1,6,4,2,66.67
5,Ceara,7,5,2,1,2,7,6,1,46.67
6,Cruzeiro,7,5,2,1,2,6,6,0,46.67
7,Corinthians,7,5,2,1,2,6,6,0,46.67
8,Vasco,7,5,2,1,2,6,7,-1,46.67
9,Juventude,7,5,2,1,2,6,11,-5,46.67
10,Sao Paulo,7,5,1,4,0,5,4,1,46.67
11,Mirassol,6,5,1,3,1,9,7,2,40.0
12,Internacional,6,5,1,3,1,5,3,2,40.0
13,Bahia,6,5,1,3,1,5,7,-2,40.0
14,Fortaleza,5,5,1,2,2,5,5,0,33.33
15,Botafogo RJ,5,5,1,2,2,4,4,0,33.33
16,Vitoria,5,5,1,2,2,6,8,-2,33.33
17,Atletico-MG,5,5,1,2,2,4,6,-2,33.33
18,Santos,4,5,1,1,3,6,7,-1,26.67
19,Gremio,4,5,1,1,3,4,10,-6,26.67
20,Sport Recife,1,5,0,1,4,3,8,-5,6.67
